,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,9930.00000,2336.00000,-211.00000,2125.00000,-481.00000,190.00000,-1932.00000,-904.00000,11195.00000,-1097.00000,-313.00000,,-57.00000,-57.00000,-3.00000,-1470.00000,399.00000,399.00000,-8663.00000,-8663.00000,-1903.00000,-161.00000,-10328.00000,-706.00000,295.00000,-1903.00000
2021-12-31,8687.00000,2097.00000,-441.00000,1656.00000,-397.00000,100.00000,-1834.00000,-916.00000,9463.00000,-814.00000,-4436.00000,,-55.00000,-55.00000,33.00000,-5272.00000,1374.00000,1374.00000,-5843.00000,-5843.00000,-1741.00000,-345.00000,-6555.00000,-2517.00000,273.00000,-1741.00000
2020-12-31,6411.00000,1652.00000,297.00000,1949.00000,-86.00000,26.00000,-864.00000,-1150.00000,7224.00000,-708.00000,-989.00000,,-10.00000,-10.00000,-172.00000,-1879.00000,3959.00000,3959.00000,-4376.00000,-4376.00000,-1605.00000,-130.00000,-2152.00000,3450.00000,254.00000,-1605.00000
2019-12-31,8118.00000,1663.00000,76.00000,1739.00000,-246.00000,-42.00000,-1867.00000,-1698.00000,8183.00000,-728.00000,-1440.00000,-215.00000,747.00000,532.00000,-4.00000,-1640.00000,2224.00000,2224.00000,-6371.00000,-6371.00000,-1345.00000,-375.00000,-5867.00000,632.00000,250.00000,-1345.00000
2018-12-31,5859.00000,1694.00000,-48.00000,1646.00000,-317.00000,101.00000,-2265.00000,-1313.00000,6223.00000,-504.00000,,,12.00000,12.00000,-14.00000,-506.00000,991.00000,991.00000,-4829.00000,-4829.00000,-1044.00000,-84.00000,-4966.00000,745.00000,196.00000,-1044.00000
2017-12-31,3915.00000,1438.00000,429.00000,1867.00000,-445.00000,290.00000,-1168.00000,-177.00000,5664.00000,-423.00000,-1175.00000,,-182.00000,-182.00000,-1.00000,-1781.00000,-64.00000,-64.00000,-3705.00000,-3705.00000,-942.00000,-53.00000,-4764.00000,-681.00000,176.00000,-942.00000
2016-12-31,4059.00000,1233.00000,81.00000,1314.00000,-338.00000,145.00000,-1108.00000,-765.00000,4637.00000,-382.00000,,,-783.00000,-783.00000,2.00000,-1163.00000,1972.00000,1972.00000,-3474.00000,-3474.00000,-837.00000,-5.00000,-2344.00000,1080.00000,149.00000,-837.00000
2015-12-31,3808.00000,1130.00000,64.00000,1194.00000,-35.00000,49.00000,-1159.00000,-820.00000,4101.00000,-342.00000,-584.00000,,212.00000,212.00000,-1.00000,-715.00000,1735.00000,1735.00000,-3491.00000,-3491.00000,-727.00000,-33.00000,-2516.00000,610.00000,122.00000,-727.00000
2014-12-31,3617.00000,1012.00000,-106.00000,906.00000,-164.00000,61.00000,-1331.00000,-1168.00000,3407.00000,-334.00000,-525.00000,0.00000,1450.00000,1450.00000,99.00000,690.00000,1530.00000,1530.00000,-3358.00000,-3358.00000,-515.00000,4.00000,-2339.00000,1538.00000,-15.00000,-515.00000
2013-12-31,3116.00000,861.00000,-56.00000,805.00000,-42.00000,-20.00000,-419.00000,147.00000,4135.00000,-299.00000,,,319.00000,319.00000,-24.00000,-4.00000,35.00000,35.00000,-2417.00000,-2417.00000,-255.00000,8.00000,-2629.00000,1547.00000,63.00000,-255.00000
2012-12-31,2759.00000,749.00000,241.00000,990.00000,-121.00000,-2.00000,-722.00000,-853.00000,2948.00000,-218.00000,-70.00000,,-1700.00000,-1700.00000,-851.00000,-2839.00000,,,-1717.00000,-1717.00000,-132.00000,51.00000,-1798.00000,-1682.00000,0.00000,-132.00000
2011-12-31,1906.00000,194.00000,-140.00000,54.00000,-162.00000,67.00000,39.00000,707.00000,2684.00000,-177.00000,-460.00000,,-125.00000,-125.00000,14.00000,-748.00000,,,-1129.00000,-1129.00000,-77.00000,-9.00000,-1215.00000,667.00000,35.00000,-77.00000
2010-12-31,1847.00000,148.00000,100.00000,248.00000,-115.00000,-19.00000,83.00000,-439.00000,1697.00000,-151.00000,-498.00000,,11.00000,11.00000,-3.00000,-641.00000,,,11.00000,11.00000,-79.00000,87.00000,19.00000,1012.00000,63.00000,-79.00000
2009-12-31,1463.00000,227.00000,358.00000,585.00000,122.00000,34.00000,-164.00000,-675.00000,1378.00000,-140.00000,-3.00000,,-517.00000,-517.00000,-4.00000,-664.00000,-149.00000,-149.00000,9.00000,9.00000,-79.00000,34.00000,-185.00000,550.00000,88.00000,-79.00000
