,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2617.31700,70.91800,216.13100,287.04900,-2256.69000,125.54900,-2235.90000,668.46600,-112.66100,-10.40000,-64.70100,-64.70100,16.01900,-171.74300,-44.26800,-44.26800,-1074.67300,-1074.67300,-144.11500,27.32100,-1235.73500,-739.01200,42.98900,-144.11500
2021-12-31,1946.32000,69.95300,156.18000,226.13300,-1266.39800,-542.71900,-1168.43200,1004.02100,-72.78100,-10.40000,-101.59100,-101.59100,60.64000,-124.13200,-622.59100,-622.59100,-897.29200,-897.29200,-147.83400,-10.84200,-1678.55900,-798.67000,36.74500,-147.83400
2020-12-31,1406.83900,86.27100,189.63400,275.90500,2.98800,-103.03900,101.59800,1784.34200,-58.35400,-83.25100,-0.75300,-0.75300,34.41100,-107.94700,19.98100,19.98100,-170.56500,-170.56500,-130.17900,-14.85300,-295.61600,1380.77900,32.84300,-130.17900
2019-12-31,1016.70000,53.99900,166.98900,220.98800,-237.74100,-64.92900,-161.68600,1076.00200,-58.11900,-163.72400,-9.51500,-9.51500,6.67200,-224.68600,-331.82600,-331.82600,-267.93400,-267.93400,-122.35000,-11.45000,-733.56000,117.75600,28.36800,-122.35000
2018-12-31,1022.02300,49.42900,486.90100,536.33000,-50.36200,41.68900,-110.07300,1448.28000,-59.03900,,-1.00000,-1.00000,19.56400,-40.47500,-172.16800,-172.16800,-288.01100,-288.01100,-104.02000,-16.07400,-580.27300,827.53200,28.29000,-104.02000
2017-12-31,447.22100,50.99800,646.11400,697.11200,-569.03000,22.09000,-481.25300,663.08000,-32.05100,,-23.03700,-23.03700,4.84600,-50.24200,-28.56400,-28.56400,-882.61100,-882.61100,-112.74800,-5.99500,-1029.91800,-417.08000,33.68300,-112.74800
2016-12-31,602.70300,54.00700,378.64300,432.65000,-897.09200,-145.24800,-967.08290,68.27000,-39.29500,-430.45800,-14.53900,-14.53900,13.10000,-471.19200,1072.76200,1072.76200,-597.36100,-597.36100,-124.66600,,350.73500,-52.18700,22.22800,-124.66600
2015-12-31,494.09000,46.22200,343.05300,389.27500,-917.29800,-279.75900,-1220.95500,-337.59000,-45.44000,,-0.45400,-0.45400,11.33000,-34.56400,386.53000,386.53000,-432.20300,-432.20300,-115.95800,,-161.63100,-533.78500,24.75200,-115.95800
2014-12-31,474.33800,39.86400,270.24700,310.11100,-337.93900,-99.98300,-476.56800,307.88100,-48.79000,-82.41900,-0.00900,-0.00900,8.60500,-122.61300,-216.05400,-216.05400,-237.39200,-237.39200,-75.64600,,-529.09200,-343.82400,29.29200,-75.64600
2013-12-31,2620.11600,31.58700,-2019.04900,-1987.46200,265.06400,-6.35500,248.48200,881.13600,-28.89900,,-12.26500,-12.26500,-4.81300,-45.97700,-512.95800,-512.95800,-108.25000,-108.25000,-38.38200,,-659.59000,175.56900,30.48000,-38.38200
2012-12-31,206.14500,30.02700,85.94800,115.97500,455.22300,-33.55700,438.02000,760.14000,-6.35600,,-15.62000,-15.62000,31.68200,9.70600,-480.00500,-480.00500,31.84800,31.84800,,,-448.15700,321.68900,22.89700,
2011-12-31,-210.38800,272.63900,74.36900,347.00800,54.89100,106.29800,-119.34100,17.27900,-10.68300,,-4.27800,-4.27800,-78.66800,-93.62900,-321.13300,-321.13300,-2.83600,-2.83600,,,-323.96900,-400.31900,16.97000,0.00000
2010-12-31,-1096.72900,701.95790,299.58500,1001.54300,-28.75400,970.08900,687.31000,592.12400,-13.39900,,-10.28700,-10.28700,4.23100,-19.45500,-954.31100,-954.31100,4.64500,4.64500,,,-949.66600,-376.99700,32.08100,
2009-12-31,-1182.56700,617.23600,1087.79600,1705.03200,494.02600,483.06700,206.89000,729.35500,-37.20100,1748.74200,-26.34200,-26.34200,8.61200,1693.81100,-2224.37100,-2224.37100,-2.60200,-2.60200,,-3.05800,-2230.03100,193.13500,46.34300,
