,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-839.4,-702.2,88.5,-613.7001,350.8,385.7,-260.2,60.8,537.1,-929.2,508.6,7.2,-9.4,506.4,0,-87.6,-87.6,424.6,424.6,445,-106.4,675.6,247,-67.2,445
2022-09-30,352,232.8,-32.5,200.3001,-116.8,-134.9,96.4,36.6,-118.7,436.7,-191.8,0,-3.8,-195.6,0,-120.4,-120.4,-34.5,-34.5,-144.9,52.4,-247.4,-12,14.4,-144.9
2022-06-30,312.7,234.7,-41.4,193.3,-204.4,-156,138.3,28.4,-193.7,322.4,-168.4,-7.2,-6,-181.6,0,125.9,125.9,-137.2,-137.2,-146.1,34.5,-122.9,25.5,24.6,-146.1
2022-03-31,174.70000,234.70000,-14.60000,220.10000,-29.60000,-94.80000,25.50000,-125.80000,-224.70000,170.10000,-148.40000,,19.20000,-129.20000,,82.10000,82.10000,-252.90000,-252.90000,-154.00000,19.50000,-305.30000,-260.50000,28.20000,-154.00000
2021-12-31,305.3,215.6,-39.8,175.8,-77.2,6.8,128.9,105.1,163.6,640.9,-219.3,-3713.8,-8.1,-3941.2,2481.3,393.1,2874.4,20.4,20.4,-139.9,7.6,2762.5,-538,17,-139.9
2021-09-30,328.6,206.9,28.5,235.4,-81.9,23.7,38,71.2,51,622.7,-166.2,-120.1,-4.4,-290.7,-753.6,1.5,-752.1,46.7,46.7,-139.9,4.3,-841,-504.5,13.6,-139.9
2021-06-30,313.6,205.4,19.9,225.3,-42.7,-57.6,78.1,-21.3,-43.5,503,-143.3,-1.8,-10.3,-155.4,0,-6.8,-6.8,11.5,11.5,-139.9,0,-135.2,212.9,27.6,-139.9
2021-03-31,196.50000,215.20000,49.70000,264.90000,23.60000,-45.90000,-44.60000,-103.60000,-170.50000,295.30000,-102.00000,-88.00000,-2.40000,-192.40000,,5.80000,5.80000,-41.70000,-41.70000,-146.70000,-0.50000,-183.10000,-70.70000,31.30000,-146.70000
2020-12-31,304.9,207.5,-1.5,206,57.1,-3.4,44.1,24.3,122.1,649.8,-123.9,60.8,1.3,-61.8,0,-231,-231,20.2,20.2,-139,-20.7,-370.5,225.5,17,-139
2020-09-30,249.3,209,105.6,314.6,2.4,-24.2,-8.3,-72.4,-102.5,451.8,-110.9,-0.2,4.9,-106.2,-260.1,-288.9,-549,-8.9,-8.9,-138.6,6.2,-690.3,-334.3,11.4,-138.6
2020-06-30,-2029.9,197.5,2205.2,2402.7,134,-113.9,55.4,-111.7,-36.2,386.8,-102,-429.9,451.1,-80.8,4.9,-503.2,-498.3,95.6,95.6,-137.7,-6.4,-546.8,-292.9,26.3,-137.7
2020-03-31,290.20000,198.70000,71.90000,270.60000,-37.90000,-38.00000,-35.30000,-81.40000,-192.60000,371.80000,-146.90000,-1.50000,-17.30000,-165.70000,464.00000,957.60000,1421.60000,-11.60000,-11.60000,-145.50000,1.30000,1265.80000,1475.50000,27.40000,-145.50000
2019-12-31,301,196.3,125.7,321.9999,-54.8,64.5,26.4,155.4,191.5,821,-226.4,-4.8,-38.7,-269.9,0,-401.5,-401.5,10,10,-136.8,26.2,-502.1,50.5,16.3,-136.8
2019-09-30,539,194.3,-33.9,160.4001,-37.1,9.4,-33.9,43.6,-18,682.1,-159.4,-91.4,-20.9,-271.7,-0.6,-284.9,-285.5,50.9,50.9,-136.3,-1,-371.9,50.1,12.3,-136.3
2019-06-30,302.5,145.9,181.2,327.1,-89.2,31.4,65.7,-102,-94.1,539.5,-152.4,-6.6,-21.1,-180.1,0.3,-53.5,-53.2,-164.1,-164.1,-138.4,-2.4,-358.1,6.8,23.2,-138.4
2019-03-31,300.40000,238.80000,29.40000,268.20000,8.00000,-83.00000,-35.30000,-86.60000,-196.90000,378.10000,-185.60000,-281.80000,-10.00000,-477.40000,-400.30000,487.90000,87.60000,-63.70000,-63.70000,-141.40000,,-117.50000,-215.00000,32.20000,-141.40000
2018-12-31,400.2,30,146,176,28.8,70.7,47.6,104.9,252,827.3,-146.1,-152.2,-82.8,-381.1,-249.8,226.1,-23.7,-212.3,-212.3,-124,6.8,-353.2,90.4,12.5,-124
2018-09-30,438.3,234.6,95.8,330.4,-72.8,-52.3,-27.6,41,-111.7,664.7,-216.6,1.3,10.8,-204.5,-1.2,-107,-108.2,-70.2,-70.2,-118.5,-16.1,-313,149.4,13.7,-118.5
2018-06-30,353.6,234.7,46.2,280.9,-122.4,-41.7,39.4,-218.7,-343.4,298.5,-185.2,-2.6,-0.8,-188.6,0,-131.6,-131.6,21.3,21.3,-128.9,-2.3,-241.5,-121.3,28.1,-128.9
2018-03-31,248.20000,231.10000,24.90000,256.00000,33.90000,-77.20000,40.40000,-19.00000,-21.90000,487.20000,-202.80000,-67.10000,14.10000,-255.80000,-300.60000,354.30000,53.70000,-186.70000,-186.70000,-123.40000,-8.60000,-265.00000,-35.90000,33.70000,-123.40000
2017-12-31,568.4,227.8,-390.9,-163.0999,-68.3,31.4,64.1,196.4,223.6,646.4,-268,-39.2,2.1,-305.1,35.5,-231.5,-196,8.2,8.2,-118.4,-16,-322.2,2.3,18.7,-118.4
2017-09-30,396.6,228.3,-52.8,175.5,-39.3,-21.1,-27,93.2,5.8,585.2,-214.2,-4.7,0.9,-218,480.2,-722,-241.8,-78.2,-78.2,-107.4,0.9,-426.5,-51.6,14.3,-107.4
2017-06-30,296.3,221.2,29.4,250.6,-60.3,-28.3,71.1,-103.3,-120.8,434,-208.7,0.1,0,-208.6,-4.9,51,46.1,-97.7,-97.7,-109.7,-8.2,-169.5,48.6,26.6,-109.7
2017-03-31,257.30000,216.00000,13.80000,229.80000,76.40000,-67.50000,12.90000,-87.90000,-66.10000,425.70000,-167.00000,-826.60000,-1.70000,-995.30000,-0.40000,858.80000,858.40000,-348.80000,-348.80000,-113.20000,-0.90000,395.50000,-168.30000,30.90000,-113.20000
2016-12-31,371.4,212.6,-13.1,199.5,-36.9,-15.8,-17.5,-55,-125.2,448,-245.1,-3.9,57.2,-191.8,157.1,-84,73.1,12.7,12.7,-103,-27.6,-44.8,199.8,18,-103
2016-09-30,379.5,216.8,-53.8,163,-24.7,-6,41.6,64.3,75.2,616.9,-166.7,-35.3,-55.9,-257.9,-0.5,-180,-180.5,-78.3,-78.3,-106.9,19.5,-346.2,13.2,14.1,-106.9
2016-06-30,263.6,209.1,-174.4,34.7,-50.8,41.8,-21,128.8,98.8,402.3,-173.1,0.1,0,-173,-4.6,-12.8,-17.4,-216.6,-216.6,-109.6,11.8,-331.8,-101.1,24.5,-109.6
2016-03-31,232.00000,212.20000,40.00000,252.20000,113.30000,-1.20000,-58.20000,-73.10000,-19.20000,472.50000,-141.40000,-9.50000,,-150.90000,668.40000,-329.60000,338.80000,-380.60000,-380.60000,-108.00000,4.40000,-145.40000,175.70000,29.10000,-108.00000
2015-12-31,222.9,212.4,140.5,352.9001,-12.4,28.8,17.8,-14.8,19.4,604.6,-234.1,-140.4,7.8,-366.7,-151.8,-84.7,-236.5,-2,-2,-99.1,9.5,-328.1,-92,18.1,-99.1
2015-09-30,250.1,211.4,10.2,221.5999,-33.8,-11.4,81.8,255.1,291.7,758.6,-231.1,-114.8,136.8,-209.1,125.2,-677,-551.8,7.3,7.3,-99.1,4.8,-638.8,-125.8,13,-99.1
2015-06-30,308.8,218.5,32.6,251.1,34.6,17.6,24.3,-114.5,-38,524.1,-167.4,-3.6,0,-171,-4.2,113.9,109.7,-287.7,-287.7,-102.7,10.8,-269.9,72.7,21.8,-102.7
2015-03-31,235.40000,217.20000,7.60000,224.80000,-12.40000,-83.60000,-170.00000,-86.50000,-352.50000,112.50000,-167.60000,-10.80000,9.40000,-169.00000,219.80000,335.70000,555.50000,-389.60000,-389.60000,-99.80000,19.80000,85.90000,28.30000,25.30000,-99.80000
2014-12-31,343.3,218,-18.5,199.5,-11.9,-42.1,145.2,37.2,128.4,670.6,-270.9999,-10.6,-1.8,-283.4,-500.5,289.4,-211.1,-73.7,-73.7,-85.5,13,-357.3,11.8,16,-85.5
2014-09-30,369.4,218.6,-33.9,184.7,-84.1,-61.5,49.5,155.4,59.3,613.1,-180.1001,-32.8,7.3,-205.6,-150.8,-167.4,-318.2,16.2,16.2,-86.6,-5.2,-393.8,10.8,12.4,-86.6
2014-06-30,315,218.6,-39.4,179.2,-117.7,-52.4,49.6,-61.2,-181.7,317.5,-181.7,-3.5,0.3,-184.9,-155.1,80.1,-75,-87.1,-87.1,-86.4,1.7,-246.8,-113.3,19.9,-86.4
2014-03-31,194.50000,216.80000,-11.80000,205.00000,38.30000,-54.80000,-69.60000,-102.70000,-188.80000,214.40000,-150.20000,-25.30000,1.10000,-174.40000,-101.40000,397.50000,296.10000,-218.60000,-218.60000,-85.90000,-64.70000,-73.10000,-38.90000,22.80000,-85.90000
2013-12-31,289.6,214.4,-22.2,192.2,-77.1,61.8,91.3,69.3,145.3,630.6,-204.7,4.2,0.1,-200.4,-173.4,-187.7,-361.1,-59.8,-59.8,-74.5,8.5,-486.9,-55.2,16,-74.5
2013-09-30,307.2,211.9,-21.4,190.5,-75.3,-19.7,17.8,110.3,33.1,536.2,-160.5,1.9,0,-158.6,-101.8,-158.2,-260,-31.3,-31.3,-71.2,-1,-363.5,19.2,13.9,-71.2
2013-06-30,215.8,204.6,-19,185.6,-25.1,-18.4,-20.5,-133.3,-197.3,207,-144.4,-1360.9,-2.6,-1507.9,665.6,377.6,1043.2,-129.3,-129.3,-67.9,5.3,851.3,-449.1,18.6,-67.9
2013-03-31,161.00000,185.30000,12.80000,198.10000,30.10000,-54.20000,-38.00000,-115.60000,-177.70000,186.00000,-134.60000,-91.20000,5.00000,-220.80000,-1.50000,-310.00000,-311.50000,9.80000,9.80000,-4.50000,12.70000,-293.50000,-333.50000,21.10000,-4.50000
2012-12-31,234.5,180.9,-71.3,109.6,-15,25.4,32.3,86.6,129.3,482.2,-189.9,116.9,0,-73,497.6,2.3,499.9,33.2,33.2,-126.3,15.4,422.2,833.8,15.1,-126.3
2012-09-30,239.3,178,50.9,228.9,-101.7,-23.1,67.2,108.7,51.1,509.7,-147.2,-2.6,15.2,-134.6,499.8,-816,-316.2,13.5,13.5,-59.6,0.6,-361.7,19.1,12.4,-59.6
2012-06-30,183.4,178.4,-143.4,35,-103.5,-22.9,3.4,1.5,-121.5,100.6,-128.2,-14.8,0,-143,-1.6,106.8,105.2,-47.1,-47.1,-59.7,17.3,15.7,-49.1,17.4,-59.7
2012-03-31,44.10000,177.20000,13.30000,190.50000,30.50000,18.60000,-23.90000,-152.00000,-126.80000,110.50000,-126.30000,-11.80000,0.80000,-137.30000,-1689.50000,319.60000,-1369.90000,-45.80000,-45.80000,-61.20000,7.10000,-1469.80000,-1489.60000,20.90000,-61.20000
2011-12-31,88.8,110.7,48.2,158.9,-31.9,-8.1,13.8,-80,-106.2,144.8,-121.3,-1351.3,0,-1472.6,2974,610.1,3584.1,-538.7,-538.7,-40.6,-28.3,2976.5,1636.3,11.9,-40.6
2011-09-30,154.5,97.1,21.8,118.9,-39.8,-11.2,12.7,1.9,-36.4,238.6,-86.5,-0.8,0,-87.3,-1.9,-65.3,-67.2,9.2,9.2,-41.1,-7.1,-106.2,44.1,7,-41.1
2011-06-30,126.2,96.7,43.8,140.5,-44.5,-7.2,33.8,-4.9,-22.8,246,-83,-3.6,0,-86.6,-2,-103.4,-105.4,-15.1,-15.1,-40.6,5.5,-155.6,11.8,9.8,-40.6
2011-03-31,93.80000,91.20000,-69.90000,21.30000,10.20000,-9.60000,0.60000,-62.10000,-60.90000,56.10000,-72.20000,-277.50000,-28.10000,-377.80000,-151.80000,465.70000,313.90000,-56.40000,-56.40000,-40.60000,2.20000,219.10000,-90.90000,11.20000,-40.60000
2010-12-31,131.6,88.4,-33.3,55.1,35.2,16.9,-2.2,76.9,126.8,312.2,-80.1,-3.8,20.1,-63.8,-1.5,-156.5,-158,13.6,13.6,-35.9,3.6,-176.7,73.9,8.2,-35.9
2010-09-30,174.3,81.5,20.2,101.7,-47.7,-10.6,18.4,41.5,1.6,273.2,-69.9,-32.9,-2.1,-104.9,-2.6,16.7,14.1,-106,-106,-36.2,6.4,-121.7,47.1,6.8,-36.2
2010-06-30,129.5,91.8,18.3,110.1,-46,7.3,21.9,3.3,-13.5,229.6,-86.3,8,0.9,-77.4,-1.9,-39.5,-41.4,-36.2,-36.2,-36.6,4.3,-109.9,36,9.8,-36.6
2010-03-31,95.70000,86.20000,20.20000,106.40000,19.20000,5.00000,-31.30000,-63.60000,-70.70000,135.40000,-58.80000,1.30000,,-57.50000,-1.40000,112.70000,111.30000,-131.00000,-131.00000,-36.80000,2.60000,-53.90000,11.70000,4.40000,-36.80000
2009-12-31,116.3,85.7,-22,63.7,22,-8.7,-12.4,-22.9,-22,163.5,-90.1,-7.3,0,-97.4,-1.4,-24.2,-25.6,-48,-48,-33.2,1.8,-105,-33.9,14.4,-33.2
2009-09-30,145.2,83.6,-46.5,37.1,-30.5,5.4,19.8,53.4,48.1,232.1,-71.5,-1.5,0,-73,-1.5,-120.3,-121.8,13.9,13.9,-33.1,4.7,-136.3,24.8,8,-33.1
2009-06-30,99.5,84.6,27,111.6,8.6,22.1,15.7,11.1,57.5,272,-65.5,-0.4,0,-65.9,-1.5,-181.3,-182.8,10,10,-33.4,1,-205.2,3.2,7,-33.4
2009-03-31,57.70000,80.40000,2.30000,82.70000,45.00000,-5.80000,-48.20000,-106.30000,-115.30000,27.40000,-58.50000,-4.50000,,-63.00000,-2.00000,81.80000,79.80000,1.70000,1.70000,-33.00000,0.20000,48.70000,12.80000,7.90000,-33.00000
